index,cafe_nm,Latitude,Longitude,scores,geometry,coverage_count
12519,이이엄,37.5821649,126.9674636,1.3898292411276505,POINT (37.5821649 126.9674636),23
7639,빽다방서울숲역점,37.5464593,127.0448637,1.386919147498876,POINT (37.5464593 127.0448637),70
4899,초코라떼꼰츄로,37.5931902,127.0005687,1.3845249216790203,POINT (37.5931902 127.0005687),14
10706,카페감,37.5894688,126.99313390000002,1.375744494461499,POINT (37.5894688 126.99313390000002),12
17181,겟썸커피지점강남역,37.503065,127.0272415,1.3754190304170182,POINT (37.503065 127.0272415),49
14590,씨스커피,37.4959843,127.0252525,1.363455636451146,POINT (37.4959843 127.0252525),31
8177,에이티랩,37.6363028,127.0360669,1.359485698382694,POINT (37.6363028 127.0360669),5
0,카페숲,37.4466893,126.9099392,1.358606376182305,POINT (37.4466893 126.9099392),3
4787,수유342,37.6431169,127.0156166,1.353206575991216,POINT (37.6431169 127.0156166),13
2556,카페그린,37.62626289999999,127.0368876,1.3520024222215674,POINT (37.62626289999999 127.0368876),3
12065,공차신림역점,37.4843513,126.9284447,1.3514803406730294,POINT (37.4843513 126.9284447),54
17966,프렌즈이터널카페,37.500905,126.8982377,1.351417970508456,POINT (37.500905 126.8982377),10
12183,로뎀나무까페,37.4489765,126.9000622,1.3511332962695155,POINT (37.4489765 126.9000622),5
6934,자작나무,37.4717893,126.8959972,1.3444522101813976,POINT (37.4717893 126.8959972),14
4604,이디야,37.4838045,126.9734094,1.3393171355811229,POINT (37.4838045 126.9734094),21
15427,착한과자선,37.5547775,127.0273846,1.3390768193792004,POINT (37.5547775 127.0273846),5
8112,쥬씨동덕여대점,37.6043231,127.0424821,1.3321794310848898,POINT (37.6043231 127.0424821),24
940,엔코바,37.477027500000005,126.88195729999998,1.3221002305613314,POINT (37.477027500000005 126.88195729999998),53
2456,지금연구소나우카페,37.4675676,126.9080874,1.3146508389741425,POINT (37.4675676 126.9080874),3
8663,킹스빈커피,37.4729469,126.881125,1.3132657810568584,POINT (37.4729469 126.881125),15
4439,생각나니,37.561275,127.1513438,1.3104847131415711,POINT (37.561275 127.1513438),6
4471,문화공간북악하늘,37.5988263,127.0043097,1.3100523749283328,POINT (37.5988263 127.0043097),1
12222,Coffee린,37.4829589,126.8812697,1.3087833563371098,POINT (37.4829589 126.8812697),30
20591,커피마마퀸,37.6121273,127.0549206,1.3028670289870825,POINT (37.6121273 127.0549206),5
20880,북카페림,37.5292036,127.0776568,1.301999175583254,POINT (37.5292036 127.0776568),9
17662,해피앤피스커피클럽,37.5693624,126.9331596,1.2952058393653745,POINT (37.5693624 126.9331596),19
8183,이디야자양우성점,37.5326942,127.0758035,1.289998114348022,POINT (37.5326942 127.0758035),15
15807,스탠딩커피,37.5836217,126.9712703,1.27935920870161,POINT (37.5836217 126.9712703),18
