index,cafe_nm,Latitude,Longitude,scores,geometry
19082,카페클래식,37.6018765,126.95687420000002,0.4934005629504252,POINT (37.6018765 126.95687420000002)
17400,커피빈상방이점,37.5145508,127.1079493,0.4930230072736356,POINT (37.5145508 127.1079493)
17262,커피빈방이점코리아,37.5145508,127.1079493,0.4930230072736356,POINT (37.5145508 127.1079493)
19035,챗딜리셔스커피,37.5355112,127.075384,0.4927622826254818,POINT (37.5355112 127.075384)
7415,할리스고덕그라시움,37.5608601,127.16136570000002,0.4926637559987908,POINT (37.5608601 127.16136570000002)
1398,제네럴스토어,37.5076315,127.0615443,0.4924743770343352,POINT (37.5076315 127.0615443)
8034,커피에반하다,37.560619,126.8465612,0.4920637373214132,POINT (37.560619 126.8465612)
17964,이디야커피,37.5735937,126.9880044,0.4916675961811605,POINT (37.5735937 126.9880044)
2468,매머드커피익스프레스현대GBC점,37.5104255,127.0650384,0.4914530269735235,POINT (37.5104255 127.0650384)
3539,카페건대커피랩,37.5408272,127.06962649999998,0.4913212432917872,POINT (37.5408272 127.06962649999998)
1051,모리,37.4740884,126.96483700000002,0.4911736329082293,POINT (37.4740884 126.96483700000002)
16103,피에스타7커피망리단길점,37.5534084,126.9059534,0.4908160786221663,POINT (37.5534084 126.9059534)
19820,퐁치커피이수역점,37.4818155,126.9757545,0.4905835295547441,POINT (37.4818155 126.9757545)
10080,디저트39수유역점,37.6405376,127.0272761,0.490446076637527,POINT (37.6405376 127.0272761)
4734,카리스,37.5332513,126.8695212,0.4904138343913197,POINT (37.5332513 126.8695212)
6623,포시즌스파트너스,37.5060372,127.0582164,0.4899503518169889,POINT (37.5060372 127.0582164)
3927,청오,37.5060372,127.0582164,0.4899503518169889,POINT (37.5060372 127.0582164)
2547,빌라쥬11팩토리,37.5060372,127.0582164,0.4899503518169889,POINT (37.5060372 127.0582164)
17375,투썸플레이스충무로역점,37.5611362,126.99479440000002,0.489918478878033,POINT (37.5611362 126.99479440000002)
19049,브라비,37.6109902,127.0603377,0.4893934031106235,POINT (37.6109902 127.0603377)
19666,고아웃위드,37.4607748,126.9014041,0.4892467998008383,POINT (37.4607748 126.9014041)
9954,크로플덕오리아가씨이태원점,37.5344972,126.9890421,0.4891266880523974,POINT (37.5344972 126.9890421)
5642,아이도넛케어,37.5335076,126.9923819,0.4887820230437009,POINT (37.5335076 126.9923819)
18716,까페델리점,37.51795870000001,127.04704840000002,0.4883333007975761,POINT (37.51795870000001 127.04704840000002)
16415,두커피,37.572807,126.991898,0.4883226304523995,POINT (37.572807 126.991898)
13066,인덴트커피룸,37.555643700000005,126.9011898,0.4882536686859513,POINT (37.555643700000005 126.9011898)
2125,크로앙쥬,37.50070770000001,127.1123551,0.4880887751324186,POINT (37.50070770000001 127.1123551)
10880,정원이있는국민책방,37.5032591,127.1113522,0.4878576375870586,POINT (37.5032591 127.1113522)
10260,쏠티스윗,37.480682,126.9017345,0.4875951881698211,POINT (37.480682 126.9017345)
20251,디유커피,37.5379016,127.07687079999998,0.4874639302451617,POINT (37.5379016 127.07687079999998)
10165,오후카페,37.5579114,127.04930149999998,0.4872411032323656,POINT (37.5579114 127.04930149999998)
3445,포에트,37.5501838,126.923723,0.4870055761764727,POINT (37.5501838 126.923723)
7886,스트라이프커피컴퍼니,37.506212100000006,127.0530452,0.4868106867202337,POINT (37.506212100000006 127.0530452)
788,헤픈커피,37.5948956,127.0623519,0.4864274721028152,POINT (37.5948956 127.0623519)
3804,더키친바이슈가,37.5094153,126.9045259,0.4861978394078449,POINT (37.5094153 126.9045259)
3062,파인,37.5541684,126.9662994,0.4860340800544886,POINT (37.5541684 126.9662994)
17145,투썸플레이스종로구청점,37.5728968,126.9803158,0.4852369880388445,POINT (37.5728968 126.9803158)
9068,보케,37.5414595,126.9908152,0.4851420267608359,POINT (37.5414595 126.9908152)
20211,영커피역삼점,37.4921406,127.03229109999998,0.4848487878502769,POINT (37.4921406 127.03229109999998)
18660,컴포즈커피광산사거리점,37.6433017,127.0226622,0.4846487194219612,POINT (37.6433017 127.0226622)
20696,현혁,37.5681665,126.9699548,0.4845185582478946,POINT (37.5681665 126.9699548)
2799,메가엠지씨커피원자력,37.6271596,127.0792346,0.4844686603754677,POINT (37.6271596 127.0792346)
14972,시드누아노원,37.6563256,127.0642659,0.484272825329088,POINT (37.6563256 127.0642659)
15229,타크,37.547262200000006,127.04275990000002,0.4842384730673448,POINT (37.547262200000006 127.04275990000002)
6089,카페돌,37.6028034,127.0860468,0.4841750312616994,POINT (37.6028034 127.0860468)
7909,카페다옴,37.5626719,127.0485505,0.4839628241226048,POINT (37.5626719 127.0485505)
16251,208호,37.560619,126.8465612,0.4837723761199992,POINT (37.560619 126.8465612)
4313,컴포즈커피등촌3동점,37.560619,126.8465612,0.4837723761199992,POINT (37.560619 126.8465612)
5097,종로시장,37.569384,126.9836012,0.483749396626988,POINT (37.569384 126.9836012)
17992,본아미치강서점,37.5290515,126.8488916,0.4827329319369722,POINT (37.5290515 126.8488916)
11587,수정다방,37.5709366,126.8121135,0.482577761885386,POINT (37.5709366 126.8121135)
7175,우니쿠스커피,37.5601048,126.9257648,0.4822528372825539,POINT (37.5601048 126.9257648)
19348,더스노우논현점,37.5070774,127.0264769,0.4821712704603409,POINT (37.5070774 127.0264769)
1349,마핑파,37.5538127,126.90583429999998,0.4820976946980169,POINT (37.5538127 126.90583429999998)
9427,카페밀콩,37.6435247,127.0388404,0.4820666524728105,POINT (37.6435247 127.0388404)
10977,리얼커피,37.5522295,126.9061177,0.4818706054416773,POINT (37.5522295 126.9061177)
3266,고망고건대,37.5422649,127.0714079,0.4818206725182204,POINT (37.5422649 127.0714079)
3228,매머드익스프레스,37.5468308,126.8714889,0.4816449115190219,POINT (37.5468308 126.8714889)
11844,코나빈스,37.522003000000005,126.833954,0.4815841115046719,POINT (37.522003000000005 126.833954)
18486,넥스트커피랩야놀자점,37.5068126,127.0662259,0.4812006879908966,POINT (37.5068126 127.0662259)
3234,퍼플오션커피,37.5594403,126.8338914,0.481180456022201,POINT (37.5594403 126.8338914)
11218,르와조,37.5594403,126.8338914,0.481180456022201,POINT (37.5594403 126.8338914)
5960,카페헤니알,37.5594403,126.8338914,0.481180456022201,POINT (37.5594403 126.8338914)
2082,파머스빈,37.5594403,126.8338914,0.481180456022201,POINT (37.5594403 126.8338914)
19037,매머드익스프레스에이스타워마곡점,37.5594403,126.8338914,0.481180456022201,POINT (37.5594403 126.8338914)
17870,카페엘리엇,37.4862432,126.92642759999998,0.4810918738495681,POINT (37.4862432 126.92642759999998)
13105,바른플레이스,37.5074399,127.0612413,0.480895572426703,POINT (37.5074399 127.0612413)
4721,감성커피,37.50902,127.022753,0.4804132023948873,POINT (37.50902 127.022753)
1653,코지,37.5144064,127.10911609999998,0.4801944598799432,POINT (37.5144064 127.10911609999998)
16176,케이엔커피,37.5065402,127.0490145,0.4801786850672314,POINT (37.5065402 127.0490145)
614,카페일삼공,37.6374274,127.018377,0.4801503576080063,POINT (37.6374274 127.018377)
7290,과일청년,37.4866824,126.9281514,0.4799799011433778,POINT (37.4866824 126.9281514)
12293,헤이트먼데이,37.5585139,126.8285976,0.4796204672445413,POINT (37.5585139 126.8285976)
9723,매머드익스프레스마곡그랑트윈,37.5585139,126.8285976,0.4796204672445413,POINT (37.5585139 126.8285976)
1457,조아테크,37.5608159,127.16149070000002,0.4793438940416712,POINT (37.5608159 127.16149070000002)
10811,삼정카페,37.5433767,126.9625105,0.4790974713133159,POINT (37.5433767 126.9625105)
21107,마돈나Madonna,37.5651534,127.0682148,0.4784469170955723,POINT (37.5651534 127.0682148)
15698,오후스커피,37.493235600000006,126.986647,0.4783915930683849,POINT (37.493235600000006 126.986647)
